japanese,romaji,english,source_category,source_exercise
女の人,onna no hito,woman,listening,1
男の人,otoko no hito,man,listening,1
話す,hanasu,to speak,listening,1
コート: coat,,,listening,1
どれ: which,,,listening,1
先に,saki ni,"before, ahead, earlier than",listening,1
帰る,kaeru,"to return, to go home",listening,1
白い,shiroi,white,listening,1
長い,nagai,"long, lengthy",listening,1
ポケット: pocket,,,listening,1
テーブル: table,,,listening,1
成る,naru,to become,listening,1
お皿,osara,"plate, dish",listening,1
並べる,naraberu,"to line up, to set up",listening,1
大きい,ookii,"big, large",listening,1
置く,oku,"to put, to place",listening,1
右側,migigawa,"right side, right hand",listening,1
ナイフ: knife,,,listening,1
左側,hidarigawa,"left, left hand side",listening,1
フォーク: fork,,,listening,1
お箸,ohashi,chopsticks,listening,1
隣,tonari,"neighbor, next to",listening,1
コーヒーカップ: coffee cup,,,listening,1
電話,denwa,telephone,listening,1
家,ie,"house, residence",listening,1
どこ: where,,,listening,1
もしもし: hello (on phone),,,listening,1
駅,eki,station,listening,1
着く,tsuku,"to arrive at, to reach",listening,1
行く,iku,"to go, to proceed",listening,1
道,michi,"way, path, route",listening,1
教える,oshieru,"to teach, to instruct",listening,1
出る,deru,"to go out, to exit",listening,1
橋,hashi,bridge,listening,1
渡る,wataru,"to cross over, to go across",listening,1
右,migi,"right, right hand side",listening,1
曲がる,magaru,"to turn, to twist",listening,1
公園,kouen,(public) park,listening,1
前,mae,in front of,listening,1
分かる,wakaru,to be understood,listening,1
いつ: when,,,listening,1
買い物,kaimono,shopping,listening,1
来月,raigetsu,next month,listening,1
二日,futsuka,"second day of the month, two days",listening,1
八日,youka,"eight day of the month, eight days",listening,1
海,umi,"sea, beach",listening,1
近く,chikaku,"near, neighborhood, vicinity",listening,1
旅行,ryokou,"travel, trip",listening,1
見る,miru,"to see, to look",listening,1
本,hon,book,listening,1
読む,yomu,to read,listening,1
美味しい,oishii,"delicious, tasty",listening,1
物,mono,"thing, object",listening,1
食べる,taberu,to eat,listening,1
日,hi,"day, sun",listening,1
部屋,heya,room,listening,1
今,ima,now,listening,1
"みんな: everyone, everybody",,,listening,1
待つ,matsu,"to wait, to look forward to",listening,1
"アパート: apartment building, apartment",,,listening,1
三階,sankai,third floor,listening,1
階段,kaidan,"stairway, staircase",listening,1
上る,noboru,"to ascend, to go up to",listening,1
すぐ: right (near),,,listening,1
近い,chikai,"near, close",listening,1
冷蔵庫,reizouko,refrigerator,listening,2
何,nani,what,listening,2
入れる,ireru,"to put in, to let in",listening,2
果物,kudamono,fruit,listening,2
お菓子,okashi,"sweets, candy",listening,2
上,ue,"on, above",listening,2
ビール: beer,,,listening,2
温かい,atatakai,"warm, mild",listening,2
パーティー: party,,,listening,2
時間,jikan,"time, hours",listening,2
一緒に,issho ni,together with,listening,2
先生,sensei,"teacher, master",listening,2
生徒,seito,student,listening,2
右手,migite,right hand,listening,2
右脇,migiwaki,right armpit,listening,2
持つ,motsu,"to hold, to carry, to possess",listening,2
高い,takai,"high, tall",listening,2
挙げる,ageru,"to raise, to elevate",listening,2
"ゆっくり: slowly, at ease",,,listening,2
次,tsugi,"next, following",listening,2
左,hidari,"left, left hand side",listening,2
手,te,hand,listening,2
"まっすぐ: straight, upright",,,listening,2
横に,yoko ni,horizontally,listening,2
写真,shashin,"photograph, photo",listening,2
建物,tatemono,building,listening,2
撮る,toru,to take (a photo),listening,2
全部,zenbu,"all, entire",listening,2
入る,hairu,"to contain, to hold",listening,2
入り口,iriguchi,"entrance, gate",listening,2
今月,kongetsu,this month,listening,2
カレンダー: calendar,,,listening,2
来週,raishuu,next week,listening,2
金曜日,kin&#8217;youbi,Friday,listening,2
十日,tooka,"tenth day of the month, ten days",listening,2
忙しい,isogashii,"busy, occupied",listening,2
先月,sengetsu,last month,listening,2
本当,hontou,"truth, reality",listening,2
二人,futari,"two person, two people, pair",listening,2
店,mise,"shop, store",listening,2
スカート: skirt,,,listening,2
いかが: how about,,,listening,2
同じ,onaji,"same, identical",listening,2
形,katachi,"form, shape, figure",listening,2
他に,hoka ni,"in addition, besides",listening,2
黒,kuro,black,listening,2
灰色,haiiro,grey,listening,2
赤,aka,red,listening,2
病院,byouin,hospital,listening,3
"また: again, also, still",,,listening,3
明日,ashita,tomorrow,listening,3
来る,kuru,"to come, to arrive",listening,3
木曜日,mokuyoubi,Thursday,listening,3
明後日,asatte,day after tomorrow,listening,3
水曜日,suiyoubi,Wednesday,listening,3
土曜日,doyoubi,Saturday,listening,3
何日,nannichi,"what day, how many days",listening,3
プール: swimming pool,,,listening,3
"よく: frequently, often",,,listening,3
一週間,isshuukan,one week,listening,3
三日,mikka,"third day of the month, three days",listening,3
泳ぐ,oyogu,to swim,listening,3
仕事,shigoto,"work, job",listening,3
一日,ichinichi,one day,listening,3
昨日,kinou,yesterday,listening,3
何時,nanji,what time,listening,3
レストラン: restaurant,,,listening,3
働く,hataraku,"to work, to labor",listening,3
時々,tokidoki,"sometimes, at times",listening,3
遅い,osoi,"slow, late",listening,3
"いつも: always, usually",,,listening,3
昼,hiru,"noon, daytime",listening,3
夜,yoru,"evening, night",listening,3
夕方,yuugata,evening,listening,3
大変,taihen,"terrible, difficult, hard",listening,3
好き,suki,"liking, fondness, love",listening,3
午後,gogo,"afternoon, p.m.",listening,3
お酒,osake,"alcohol, sake",listening,3
遠い,tooi,"far, distant",listening,3
不便,fuben,"inconvenience, unhandiness",listening,3
学校,gakkou,school,listening,3
便利,benri,"convenient, useful",listening,3
"いい: good, excellent",,,listening,3
"うるさい: noisy, loud",,,listening,3
"とても: very, awfully",,,listening,3
静か,shizuka,"quiet, peaceful",listening,3
取る,toru,"to take, to pick up",listening,4
下,shita,"below, down, under",listening,4
これ: this,,,listening,4
それ: that,,,listening,4
箱,hako,box,listening,4
男の子,otoko no ko,boy,listening,4
お母さん,okaasan,mother,listening,4
渡す,watasu,"to pass, to give",listening,4
被る,kaburu,to wear (on head),listening,4
どうして: why,,,listening,4
風邪,kaze,cold (illness),listening,4
皆さん,minasan,"everyone, everybody",listening,4
飲み物,nomimono,"drink, beverage",listening,4
忘れる,wasureru,to forget,listening,4
それから: and then,,,listening,4
雨,ame,rain,listening,4
降る,furu,to fall (rain),listening,4
傘,kasa,umbrella,listening,4
女の子,onna no ko,girl,listening,4
財布,saifu,"wallet, purse",listening,4
買う,kau,to buy,listening,4
色,iro,color,listening,4
丸い,marui,"round, circular",listening,4
可愛い,kawaii,"cute, adorable",listening,4
外国語,gaikokugo,foreign language,listening,4
国,kuni,country,listening,4
そっち: there,,,listening,4
日本,nihon,Japan,listening,4
こっち: here,,,listening,4
毎日,mainichi,every day,listening,5
会社,kaisha,"company, workplace",listening,5
"どうやって: how, in what way, by what means",,,listening,5
自転車,jitensha,bicycle,listening,5
歩く,aruku,to walk,listening,5
少し,sukoshi,"little, few",listening,5
バス: bus,,,listening,5
お爺さん,ojiisan,grandfather,listening,5
七日,nanoka,"seventh day of the month, seven days",listening,5
違う,chigau,"to differ, to vary",listening,5
今日,kyou,"today, this day",listening,5
四日,yokka,"fourth day of the month, four days",listening,5
六日,muika,"sixth day of the month, six days",listening,5
欲しい,hoshii,in need of,listening,5
ボタン: button,,,listening,5
鍵,kagi,"key, lock",listening,5
捜す,sagasu,"to search, to seek",listening,5
椅子,isu,chair,listening,5
本棚,hondana,"bookshelf, bookcase",listening,5
ほら: look!,,,listening,5
横,yoko,"horizontal, side-to-side",listening,5
テニス: tennis,,,listening,5
楽しい,tanoshii,"enjoyable, fun",listening,5
疲れる,tsukareru,"to get tired, to be worn out",listening,5
サッカー: soccer,,,listening,5
飲む,nomu,to drink,listening,5
元気,genki,"healthy, robust",listening,5
ただいま: I&#8217;m home!,,,listening,6
牛肉,gyuuniku,beef,listening,6
豚肉,butaniku,pork,listening,6
鶏肉,toriniku,chicken meat,listening,6
頼む,tanomu,"to request, to ask",listening,6
"どんな: what, what kind of",,,listening,6
天気,tenki,weather,listening,6
寒い,samui,cold (weather),listening,6
悪い,warui,"bad, poor",listening,6
雪,yuki,snow,listening,6
"テレビ: television, TV",,,listening,6
言う,iu,to say,listening,6
晴れ,hare,clear weather,listening,6
曇り,kumori,cloudy weather,listening,6
終わる,owaru,"to finish, to end",listening,6
映画,eiga,"movie, film",listening,6
切符,kippu,ticket,listening,6
残念,zannen,"bad luck, regret",listening,6
一人で,hitori de,"alone, by oneself",listening,6
服,fuku,clothes,listening,6
誰,dare,who,listening,6
素敵,suteki,"lovely, beautiful",listening,6
お兄さん,oniisan,older brother,listening,6
弟さん,otoutosan,younger brother,listening,6
父,chichi,father,listening,6
何人,nannin,how many,listening,6
家族,kazoku,"family, members of a family",listening,6
両親,ryoushin,"parents, both parents",listening,6
兄,ani,older brother,listening,6
一人,hitori,one person,listening,6
姉,ane,older sister,listening,6
見せる,miseru,"to show, to display",listening,7
花瓶,kabin,(flower) vase,listening,7
二番目,nibanme,second (in a series),listening,7
勉強,benkyou,"study, diligence",listening,7
誰か,dareka,"someone, somebody",listening,7
教室,kyoushitsu,classroom,listening,7
授業,jugyou,"lesson, classwork",listening,7
ページ: page,,,listening,7
始める,hajimeru,"to start, to begin",listening,7
どのように: how,,,listening,7
日曜日,nichiyoubi,Sunday,listening,7
花,hana,flower,listening,7
水,mizu,water,listening,7
"きれい: pretty, beautiful, clean",,,listening,7
洗う,arau,to wash,listening,7
銀行,ginkou,bank,listening,7
いらっしゃいませ: welcome (in shops),,,listening,8
お姉さん,oneesan,elder sister,listening,8
あそこ: there,,,listening,8
人,hito,person,listening,8
履く,haku,to put on lower-body clothing,listening,8
眼鏡,megane,"glasses, spectacles",listening,8
会う,au,"to meet, to encounter",listening,8
毎週,maishuu,every week,listening,8
火曜日,kayoubi,Tuesday,listening,8
大丈夫,daijoubu,"all right, okay",listening,8
外,soto,"outside, exterior",listening,8
今朝,kesa,this morning,listening,8
困る,komaru,"to be troubled, to be worried",listening,8
晴れる,hareru,"to clear up, to be sunny",listening,8
歌,uta,song,listening,9
聞く,kiku,"to hear, to listen",listening,9
何時間,nanjikan,how many hours,listening,9
バイオリン: violin,,,listening,9
練習,renshuu,practice,listening,9
上手,jouzu,"skill, skillful",listening,9
"どのくらい: how long, how far",,,listening,9
休み,yasumi,"vacation, holiday, rest",listening,9
"もっと: more, even more, longer",,,listening,9
何か,nanika,something,listening,9
去年,kyonen,last year,listening,9
今年,kotoshi,this year,listening,9
大学生,daigakusei,"university student, college student",listening,9
医者,isha,"(medical) doctor, physician",listening,9
"すごい: amazing, wonderful",,,listening,9
友達,tomodachi,"friend, companion",listening,9
結婚,kekkon,marriage,listening,9
有名,yuumei,famous,listening,9
休む,yasumu,"to take a day off, to rest",listening,9
これから: after this,,,listening,10
"すぐ: immediately, at once",,,listening,10
叔母さん,obasan,aunt,listening,10
御婆さん,obaasan,grandmother,listening,10
二番,niban,"second, number two",listening,10
授業中,jugyouchuu,while in class,listening,10
コーヒー: coffee,,,listening,10
紅茶,koucha,black tea,listening,10
熱い,atsui,hot (thing),listening,10
冷たい,tsumetai,cold (to the touch),listening,10
お茶,ocha,tea,listening,10
お願いします,onegai shimasu,please,listening,10
後ろ,ushiro,"behind, back, rear",listening,10
低い,hikui,"low, short",listening,10
閉める,shimeru,"to close, to shut",listening,10
電気,denki,"electricity, (electric) light",listening,10
消す,kesu,to turn off power,listening,10
乗る,noru,"to get on, to ride in",listening,11
早く,hayaku,"quickly, rapidly",listening,11
小さい,chiisai,"small, little",listening,11
朝,asa,morning,listening,11
朝ご飯,asagohan,breakfast,listening,11
パン: bread,,,listening,11
卵,tamago,egg,listening,11
料理,ryouri,"cooking, cuisine",listening,11
クラス: class,,,listening,11
六月,rokugatsu,June,listening,11
七月,shichigatsu,July,listening,11
道,michi,"street, way, path, route",listening,11
聞く,kiku,"to ask, to enquire",listening,11
薬屋,kusuriya,"pharmacy, drug store",listening,11
辺,hen,"area, vicinity",listening,11
まっすぐ: straight (ahead),,,listening,11
二つ目,futatsume,second,listening,11
交差点,kousaten,"crossing, intersection",listening,11
本屋,hon&#8217;ya,"bookstore, bookshop",listening,11
見える,mieru,"to be seen, to be in sight",listening,11
新聞,shinbun,newspaper,listening,11
見る,miru,"to see, to look, to watch",listening,11
"もらう: to receive, to accept",,,listening,12
猫,neko,cat,listening,12
誕生日,tanjoubi,birthday,listening,12
"くれる: to give, to let one have",,,listening,12
犬,inu,dog,listening,12
人形,ningyou,"doll, puppet",listening,12
置く,oku,"to place, to put",listening,12
下の部屋,shita no heya,downstairs room,listening,12
ホテル: hotel,,,listening,12
入る,hairu,"to get in, to go in",listening,12
荷物,nimotsu,"luggage, baggage",listening,12
自分,jibun,"myself, oneself, yourself",listening,12
持つ,motsu,"to hold, to carry",listening,12
晩ご飯,bangohan,"dinner, evening meal",listening,12
食堂,shokudou,"dining room, dining hall",listening,12
時半,jihan,half past,listening,12
お風呂,ofuro,bath,listening,12
名前,namae,name,listening,12
番号,bangou,"number, series of digits",listening,12
書く,kaku,to write,listening,12
紙,kami,paper,listening,12
遅く,osoku,late,listening,12
昼ご飯,hirugohan,lunch,listening,12
ちょうどいい: just right (time),,,listening,12
お父さん,otousan,father,listening,13
今晩,konban,"tonight, this evening",listening,13
寝る,neru,"to sleep, to go to bed",listening,13
起きる,okiru,"to get up, to wake up",listening,13
この後,kono ato,after this,listening,13
休む,yasumu,"to rest, to have a break",listening,13
ケーキ: cake,,,listening,13
もうすぐ: very soon,,,listening,13
出かける,dekakeru,"to depart, to go out",listening,13
やっぱり: just as I thought,,,listening,13
作る,tsukuru,"to make, to produce",listening,13
肉,niku,"meat, flesh",listening,13
魚,sakana,fish,listening,13
野菜,yasai,vegetable,listening,13
カレー: curry,,,listening,13
電車,densha,(electric) train,listening,13
南,minami,south,listening,13
借りる,kariru,"to borrow, to rent",listening,13
会社,kaisha,"company, corporation",listening,14
"うち: house, home (one&#8217;s own)",,,listening,14
図書館,toshokan,library,listening,14
"そば: near, close, beside",,,listening,14
面白い,omoshiroi,"interesting, amusing",listening,14
涼しい,suzushii,"cool, refreshing",listening,14
暑い,atsui,hot (weather),listening,14
デパート: department store,,,listening,14
中,naka,"inside, within",listening,14
靴,kutsu,"shoes, footwear",listening,14
売る,uru,to sell,listening,14
"ネクタイ: tie, necktie",,,listening,14
階,kai,stories,listening,14
"あちら: that way, over there",,,listening,14
夏休み,natsuyasumi,"summer vacation, summer holiday",listening,14
帰る,kaeru,"to return, to come home",listening,14
北,kita,north,listening,14
一年中,ichinenjuu,all year round,listening,14
店,mise,"store, shop",listening,15
早い,hayai,"early, soon",listening,15
最後,saigo,"last, end",listening,15
背が高い,se ga takai,tall (of a person),listening,15
楽しみ,tanoshimi,looking forward to,listening,15
始まる,hajimaru,to begin,listening,15
映画館,eigakan,"movie theater, cinema",listening,15
鞄,kaban,bag,listening,15
絵,e,"picture, drawing, paiting",listening,15
ハンカチ: handkerchief,,,listening,15
窓,mado,window,listening,16
ドア: door,,,listening,16
横,yoko,horizontal,listening,16
暖かい,atatakai,"warm, mild",listening,16
風,kaze,"wind, breeze",listening,16
強い,tsuyoi,"strong, powerful",listening,16
弟,otouto,younger brother,listening,16
休み,yasumi,"rest, vacation, holiday",listening,16
山,yama,mountain,listening,16
登る,noboru,"to go up, to climb",listening,16
"きれい: beautiful, lovely",,,listening,17
ここ: here,,,listening,17
カメラ: camera,,,listening,17
押す,osu,"to push, to press",listening,17
喫茶店,kissaten,"coffee lounge, coffee shop",listening,17
はじめまして: I&#8217;m glad to meet you,,,listening,17
一年前,ichinenmae,one year ago,listening,17
日本語,nihongo,Japanese (language),listening,17
音楽,ongaku,music,listening,17
スポーツ: sport,,,listening,17
コンピューター: computer,,,listening,17
四月,shigatsu,April,listening,17
切る,kiru,"to cut, to sever",listening,18
はさみ: scissors,,,listening,18
何歳,nansai,"how old, what age",listening,18
今,ima,"now, the present time",listening,18
二十歳,hatachi,twenty years old,listening,18
大人,otona,adult,listening,18
全部,zenbu,"all, entire, whole",listening,18
授業,jugyou,"lesson, class work",listening,18
何番,nanban,what number,listening,18
毎度,maido,each time,listening,19
忘れ物,wasuremono,"lost article, something forgotten",listening,19
どなた: who,,,listening,19
四角い,shikakui,"square, rectangular",listening,19
黒い,kuroi,black,listening,19
順番,junban,"turn (in line), order of things",listening,20
"まず: first (of all), to start with",,,listening,20
走る,hashiru,to run,listening,20
グラフ: graph,,,listening,20
食べ物,tabemono,food,listening,20
少ない,sukunai,"few, a little",listening,20
"たいてい: mostly, generally",,,listening,20
牛乳,gyuunyuu,milk,listening,20
ボールペン: ball-point pen,,,listening,20
貸す,kasu,"to lend, to loan",listening,20
赤い,akai,red,listening,20
青い,aoi,blue,listening,20
行く,iku,to go,listening,21
肉,niku,meat,listening,21
本屋,honya,bookshop,listening,21
ほか: other,,,listening,21
違う,chigau,to differ,listening,21
ジュース: juice,,,listening,21
座る,suwar,to sit,listening,21
風,kaze,wind,listening,21
強い,tsuyoi,strong,listening,21
暖かい,atatakai,warm,listening,21
探す,sagasu,to search,listening,21
安い,yasui,cheap,listening,21
ところ: place,,,listening,21
遠い,tooi,far,listening,21
何曜日,nanyoubi,what day,listening,21
宿題,shukudai,homework,listening,21
明後日,asatte,the day after tomorrow,listening,21
大変,taihen,very; greatly; terribly,listening,21
アイスクリーム,aisukuriimu,ice cream,listening,22
いくつ,ikutsu,"how many, how old",listening,22
家族,kazoku,family,listening,22
じゃあ,jaa,"well, so, well then",listening,22
どこ,doko,where,listening,22
会う,au,to meet,listening,22
喫茶店,kissaten,"coffee shop, coffee house",listening,22
店,mise,store,listening,22
休み,yasumi,"vacation, holiday",listening,22
そうか,souka,is that so?,listening,22
隣,tonari,next to,listening,22
どう,dou,"how, in what way",listening,22
前,mae,"before, in front",listening,22
寒い,samui,cold,listening,22
中,naka,"in, inside",listening,22
分かる,wakaru,to understand,listening,22
ジュース,juusu,juice,listening,22
甘い,amai,"sweet, sugary",listening,22
もの,mono,thing,listening,22
年,nen,year,listening,22
登る,noboru,to climb,listening,22
静か,shizuka,quiet,listening,22
人,hito,"person, people",listening,22
多い,ooi,many,listening,22
昼ごはん,hirugohan,lunch,listening,22
時,ji,o’clock,listening,22
時間,jikan,"time, hour",listening,22
持つ,motsu,to have,listening,22
貸す,kasu,to lend,listening,22
よかった,yokatta,thank goodness,listening,22
お金,okane,money,listening,22
Click here,,,listening,22
to download JLPT N5,,,listening,22
平仮名,hiragana,Hiragana,listening,24
なる,naru,to become,listening,24
並べる,naraberu,"to line up, to arrange in a line",listening,24
正しい,tadashii,"right, correct",listening,24
まず,mazu,first,listening,24
電車,densha,train,listening,24
今日一日,kyou ichinichi,the whole day today,listening,24
使う (tsukau); to use,,,listening,24
乗る,noru,to ride,listening,24
降りる,oriru,"to descend, to alight (e.g. from bus)",listening,24
バス,basu,bus,listening,24
車,kuruma,car,listening,24
医者,isha,doctor,listening,24
痛い,itai,"painful, sore",listening,24
どうしました,dou shimashita,"what’s wrong?, what’s happend?",listening,24
箸,hashi,chopsticks,listening,24
ペン,pen,pen,listening,24
持つ,motsu,to hold,listening,24
うち,uchi,"one’s house, one’s home, one’s family",listening,24
でも,demo,but,listening,24
話,hanashi,"talk, chat",listening,25
どうやって,dou yatte,how,listening,25
毎朝,maiasa,every morning,listening,25
入れる,ireru,to put in,listening,25
砂糖,satou,sugar,listening,25
海,umi,sea,listening,25
どうでした,dou deshita,how was…,listening,25
少し,sukoshi,a little,listening,25
少ない,sukunai,few,listening,25
会社,kaisha,company,listening,25
手紙を出す,tegami o dasu,to mail a letter,listening,25
デパート,depaato,department store,listening,25
郵便局,yuubinkyoku,post office,listening,25
薬,kusuri,medicine,listening,25
いつ,itsu,when,listening,25
飲む,nomu,"to drink, to take (medicine)",listening,25
こちら,kochira,"this way, here, this one",listening,25
夜,yoru,night,listening,25
頭,atama,head,listening,25
ゆっくり,yukkuri,slowly,listening,25
寝る,neru,to sleep,listening,25
お腹,onaka,stomach,listening,25
毎晩,maiban,every night,listening,25
よく,yoku,"often, frequently",listening,25
地下鉄,chikatetsu,subway,listening,25
はやい,hayai,fast,listening,25
便利,benri,convenient,listening,25
外,soto,outside,listening,25
忙しい,isogashii,busy,listening,25
高い,takai,"high, expensive",listening,25
町,machi,"town, neighborhood",listening,25
いつも,itsumo,always,listening,25
ストーブ,sutoobu,"(room) heater, stove",listening,26
つける,tsukeru,"to furnish (a house with), to turn on",listening,26
暑い,atsui,hot,listening,26
開く,aku,to open,listening,26
掃除,souji,"cleaning, sweeping",listening,26
開ける,akeru,to open,listening,26
よい,yoi,good,listening,26
コート,kooto,coat,listening,26
セーター,seetaa,sweater,listening,26
要る,iru,to need,listening,26
中学校,chuugakkou,"junior high school, middle school",listening,26
先生,sensei,teacher,listening,26
この後,kono go/kono ato,"after this, from now on",listening,26
遊ぶ,asobu,to play,listening,26
はやく,hayaku,"quickly, early",listening,26
勉強,benkyou,study,listening,26
帰る,kaeru,to return (home),listening,26
赤ちゃん,akachan,baby,listening,26
泣く,naku,to cry,listening,26
経つ,tatsu,to pass (of time),listening,26
また,mata,again,listening,26
パーティー,paatii,party,listening,27
四日,yokka,the fourth day of the month,listening,27
二人,futari,"two persons, pair",listening,27
住む,sumu,to live,listening,27
ところ,tokoro,place,listening,27
いや,iya,"unpleasant, detestable",listening,27
出かける,dekakeru,to go out,listening,27
晴れ,hare,"clear weather, fine weather",listening,27
財布,saifu,wallet,listening,27
そば,soba,"near, close",listening,27
木,ki,tree,listening,27
下,shita,under,listening,27
どの,dono,which,listening,27
長い,nagai,long,listening,27
短い,mijikai,short,listening,27
いくら,ikura,how much,listening,27
八月,hachigatsu,August,listening,27
八日,youka,the eight day of the month,listening,27
旅行,ryokou,travel,listening,27
月曜日,getsuyoubi,Monday,listening,27
七日,nanoka,the seventh day of the month,listening,27
日,hi,day,listening,27
スプーン,supuun,spoon,listening,28
コップ,koppu,cup,listening,28
こっち,kocchi,"this way, here",listening,28
全部,zenbu,all,listening,28
本当,hontou,really,listening,28
鍵,kagi,key,listening,28
あれ,are,"huh?, what?, eh?",listening,28
テーブル,teeburu,table,listening,28
本棚,hondana,bookshelf,listening,28
もう一回,mou ikkai,once more,listening,28
三日,mikka,the third day of the month,listening,28
十日,tooka,the tenth day of the month,listening,28
お酒,osake,alcohol,listening,28
家,ie,house,listening,29
出る,deru,"to leave, to go out",listening,29
それじゃ,sore ja,"well, then, bye then, in that case",listening,29
朝ごはん,asagohan,breakfast,listening,29
子供,kodomo,"child, children",listening,29
お弁当,obentou,"bento, Japanese box lunch",listening,29
作る,tsukuru,to make,listening,29
来る,kuru,to come,listening,29
かかる,kakaru,to take (time),listening,29
近い,chikai,near,listening,29
花屋,hanaya,"florist, flower shop",listening,29
電話番号,denwa bangou,phone number,listening,29
駅前,ekimae,in front of a station,listening,29
教える,oshieru,"to teach, to tell",listening,29
パン,pan,bread,listening,29
サンドイッチ,sandoicchi,sandwich,listening,29
雑誌,zasshi,magazine,listening,29
何階,nankai,what floor,listening,29
階,kai,floor,listening,29
外国,gaikoku,foreign country,listening,29
喫茶店,kissaten,coffee shop,listening,29
時々,tokidoki,sometimes,listening,29
古い,furui,old,listening,29
コーヒー,koohii,coffee,listening,29
料理,ryouri,"cuisine, cooking",listening,29
美味しい,oishii,delicious,listening,29
分かる,wakaru,"to understand, to comprehend",listening,29
好き,suki,like,listening,29
お腹が空く,onaka ga suku,"to become hungry, to get an empty stomach",listening,29
カメラ,kamera,camera,listening,30
いちばん,ichiban,"best, most",listening,30
右,migi,right,listening,30
シャツ,shatsu,shirt,listening,30
いろいろ,iroiro,"various, all sorts of",listening,30
ポケット,poketto,pocket,listening,30
ボタン,botan,button,listening,30
大きい,ookii,big,listening,30
メガネをかける,megane o kakeru,to wear glasses,listening,30
ご飯,gohan,rice,listening,30
きらい,kirai,hate,listening,30
電話,denwa,"phone, phone call",listening,30
向こう,mukou,"other side, over there",listening,30
昼,hiru,"daytime, noon",listening,30
どうも,doumo,"thanks, thank you",listening,30
子,ko,child,listening,31
あそこ,asoko,"there, over there",listening,31
ほら,hora,"look!, see!, there!",listening,31
写真,shashin,photograph,listening,31
持ってくる,motte kuru,to bring,listening,31
髪,kami,hair,listening,31
違う,chigau,"to differ, to be different",listening,31
丸い,marui,round,listening,31
顔,kao,face,listening,31
もしもし,moshimoshi,hello (on the phone),listening,31
着く,tsuku,to arrive,listening,31
待つ,matsu,to wait,listening,31
いますぐ,ima sugu,right now,listening,31
持つ,motsu,"to hold, to carry, to have",listening,31
帽子,boushi,hat,listening,31
かぶる,kaburu,to wear,listening,31
ページ,peeji,page,listening,31
終わる,owaru,to finish,listening,31
クラス,kurasu,class,listening,31
靴下,kutsushita,socks,listening,31
絵,e,"painting, drawing",listening,31
動物,doubutsu,animal,listening,31
次,tsugi,next,listening,32
する,suru,to do,listening,32
テレビ,terebi,television,listening,32
電話をかける,denwa o kakeru,"to telephone, to make a phone call",listening,32
ナイフ,naifu,knife,listening,32
どんなとき,donna toki,when,listening,32
使う,tsukau,to use,listening,32
切る,kiru,to cut,listening,32
スープ,suupu,soup,listening,32
人形,ningyou,doll,listening,32
洋服,youfuku,Western-style clothes,listening,32
靴,kutsu,shoes,listening,32
キャンプ,kyanpu,"camp, camping",listening,32
公園,kouen,park,listening,33
子供,kodomo,child,listening,33
二人,futari,two persons,listening,33
何人,nannin,how many people,listening,33
うちの犬,uchi no inu,my dog,listening,33
後ろ,ushiro,behind,listening,33
ベッド,beddo,bed,listening,33
机,tsukue,desk,listening,33
試験,shiken,"test, exam",listening,33
学生,gakusei,student,listening,33
時計,tokei,"clock, watch",listening,33
何分,nanpun,how many minutes,listening,33
みなさん,minasan,everyone,listening,33
手紙,tegami,letter,listening,33
出す,dasu,to mail (a letter),listening,33
封筒,fuutou,envelope,listening,33
葉書,hagaki,postcard,listening,33
ボールペン,boorupen,ball-point pen,listening,33
切手,kitte,stamp,listening,33
何回,nankai,how many times,listening,34
ご飯,gohan,"cooked rice, meal",listening,34
あとで,ato de,after,listening,34
昼,hiru,"midday, noon, daytime",listening,34
四日間,yokkakan,for four days,listening,34
とる,toru,to take,listening,34
どちら,dochira,which one,listening,34
小さい,chiisai,small,listening,34
今から,ima kara,"from now, from the present moment",listening,34
テスト,tesuto,test,listening,34
辞書,jisho,dictionary,listening,34
問題,mondai,"problem, question",listening,34
出す,dasu,"to take out, to put out",listening,34
えんぴつ,enpitsu,pencil,listening,34
消しゴム,keshigomu,"eraser, rubber",listening,34
ノート,nooto,notebook,listening,34
旅行会社,ryokou gaisha,"travel agent, travel agency",listening,34
はじめに,hajime ni,"first, at first",listening,34
ホテル,hoteru,hotel,listening,34
一階,ikkai,first floor,listening,34
レストラン,resutoran,restaurant,listening,34
晩ご飯,bangohan,dinner,listening,34
すぐに,sugu ni,immediately,listening,34
持っていく,motte iku,"to take (something) along, to bring with one",listening,34
おにぎり,onigiri,rice ball,listening,34
おねがいします,onegai shimasu,please,listening,34
重い,omoi,heavy,listening,34
番号,bangou,number,listening,35
いちばん,ichiban,most,listening,35
どれ,dore,which,listening,36
靴,kutsu,shoe,listening,36
写真を撮る,shashin o toru,to take a photo,listening,36
貼る,haru,"to stick, to paste",listening,36
ここ,koko,here,listening,36
勉強,benkyou,to study,listening,36
テレビ,terebi,TV,listening,36
聞く,kiku,to listen,listening,36
大学,daigaku,university,listening,36
バス停,basutei,bus stop,listening,36
バス会社,basu gaisha,bus company,listening,36
番,ban,"number, one’s turn",listening,36
夕方,yuugata,night,listening,36
どちら,dochira,where,listening,37
あちら,achira,"that way, over there",listening,37
アメリカ,amerika,America,listening,37
今日,kyou,today,listening,37
何日,nannichi,what day,listening,37
週間,shuukan,week,listening,37
荷物,nimotsu,luggage,listening,37
